Time_Hour,169,220,236,101,146,189,84,192,8,53,116,159,69,223,169F,220F,236F,101F,146F,189F,84F,192F,8F,53F,116F,159F,69F,223F
3.670278,0.11915,0.1424,0.1011,0.06355,0.25505,0.1449,0.2052,0.17425,0.1223,0.138,0.22415,0.20935,0.14555,0.1667,0.07845,0.0598,0.03365,0.07425,0.17405,0.0991,0.18015,0.11025,0.0937,0.1966,0.2092,0.15855,0.16115,0.1302
3.836944,0.1221,0.13515,0.0998,0.06625,0.2519,0.1483,0.2079,0.1735,0.1245,0.14345,0.2299,0.2057,0.1443,0.16605,0.08045,0.0623,0.03435,0.07755,0.18025,0.09905,0.1786,0.1094,0.0956,0.1951,0.2145,0.16805,0.16015,0.1285
4.003611,0.12915,0.1338,0.09485,0.06625,0.2511,0.14575,0.2103,0.17055,0.1265,0.1455,0.2327,0.20225,0.14475,0.1639,0.085,0.05385,0.03185,0.08745,0.1842,0.1037,0.1782,0.1103,0.096,0.19625,0.21465,0.1711,0.15965,0.1232
4.170555,0.13405,0.13455,0.0971,0.06165,0.25205,0.14805,0.2198,0.1758,0.1285,0.15075,0.23725,0.209,0.1518,0.16355,0.0871,0.058,0.03325,0.0844,0.18145,0.1037,0.1827,0.11015,0.09815,0.19335,0.216,0.1706,0.15625,0.12385
4.337778,0.12875,0.13295,0.0868,0.0671,0.2593,0.1595,0.228,0.17825,0.13045,0.15985,0.2385,0.2157,0.1547,0.15895,0.08625,0.06685,0.0346,0.07405,0.1773,0.10235,0.17905,0.1081,0.09495,0.1971,0.2117,0.15865,0.1563,0.1308
4.504722,0.12765,0.135,0.0829,0.0741,0.257,0.1637,0.2322,0.17115,0.1285,0.1662,0.2456,0.221,0.16445,0.16025,0.0854,0.06165,0.03215,0.0874,0.18645,0.1037,0.1779,0.1086,0.0936,0.19555,0.21395,0.1647,0.15295,0.1251
4.671389,0.12465,0.1386,0.07485,0.0724,0.26085,0.1701,0.23945,0.1645,0.1314,0.16685,0.25295,0.22245,0.18,0.1654,0.08485,0.0666,0.03555,0.0713,0.17785,0.1006,0.1781,0.1128,0.0974,0.1964,0.2126,0.1731,0.1591,0.1227
4.838333,0.1321,0.15155,0.0773,0.07805,0.2614,0.16925,0.25,0.16145,0.13685,0.16955,0.2564,0.22985,0.18805,0.16605,0.09285,0.0639,0.0357,0.08585,0.1847,0.10675,0.17445,0.11525,0.09745,0.19915,0.2122,0.17365,0.15665,0.1306
5.005278,0.12525,0.1553,0.07155,0.0792,0.26505,0.17785,0.27535,0.16985,0.14065,0.17805,0.2709,0.24185,0.20735,0.17225,0.09105,0.0683,0.03265,0.08005,0.18185,0.10715,0.181,0.11225,0.09565,0.19185,0.21485,0.167,0.1568,0.12565
5.171944,0.12595,0.17275,0.0748,0.0908,0.2638,0.19685,0.28645,0.1644,0.14515,0.1802,0.2803,0.2431,0.21855,0.1779,0.08735,0.0645,0.03305,0.0831,0.1895,0.1052,0.1837,0.11515,0.1009,0.19445,0.2136,0.17445,0.155,0.1261
5.338611,0.11925,0.18545,0.066,0.09345,0.26255,0.2146,0.30455,0.17845,0.15305,0.18435,0.29015,0.2512,0.23995,0.18895,0.08805,0.06535,0.0324,0.07775,0.18645,0.1019,0.1819,0.1151,0.09955,0.196,0.2169,0.1778,0.1636,0.126
5.505278,0.1162,0.19665,0.0683,0.0937,0.2678,0.232,0.31215,0.18455,0.16295,0.1879,0.2995,0.25995,0.25095,0.19715,0.0851,0.0685,0.03445,0.06695,0.17985,0.10245,0.17475,0.1228,0.0983,0.1976,0.21335,0.17685,0.15775,0.1205
5.671944,0.1241,0.21595,0.06765,0.1056,0.2713,0.25525,0.3209,0.1875,0.16945,0.1923,0.30145,0.2712,0.2548,0.20185,0.09235,0.0686,0.0334,0.0736,0.1862,0.10145,0.1726,0.1196,0.09765,0.1954,0.2082,0.1705,0.1574,0.1253
5.838889,0.1224,0.23245,0.0726,0.11,0.27605,0.27465,0.3254,0.2034,0.1766,0.198,0.30335,0.2829,0.27135,0.21075,0.0875,0.0633,0.03065,0.0747,0.1889,0.1039,0.18015,0.11645,0.0915,0.19495,0.2112,0.16525,0.1634,0.1334
6.005833,0.12495,0.245,0.08095,0.11045,0.28585,0.291,0.33115,0.213,0.191,0.19905,0.3117,0.2908,0.27755,0.2137,0.0916,0.06995,0.03305,0.0609,0.18035,0.1039,0.1768,0.1192,0.09035,0.19575,0.21165,0.1663,0.16395,0.12425
6.172778,0.122,0.25605,0.08955,0.1185,0.29425,0.3073,0.3413,0.2251,0.21075,0.19695,0.31795,0.2975,0.28755,0.2218,0.08775,0.06955,0.03105,0.0597,0.17945,0.10765,0.17355,0.12005,0.0925,0.19575,0.20965,0.1705,0.1647,0.12795
6.339444,0.12565,0.26065,0.0935,0.1188,0.30045,0.31565,0.3488,0.2371,0.22735,0.1949,0.32605,0.3034,0.2873,0.2253,0.0947,0.06835,0.03665,0.0603,0.18335,0.1012,0.17445,0.1215,0.09735,0.19815,0.21025,0.1737,0.16225,0.12485
6.506389,0.12065,0.2643,0.10255,0.12585,0.3111,0.3225,0.3488,0.25265,0.24245,0.1985,0.32845,0.3172,0.2895,0.22875,0.0892,0.06815,0.02905,0.0569,0.18075,0.1093,0.1736,0.1203,0.09845,0.191,0.2151,0.1774,0.16015,0.1229
6.673055,0.12395,0.26275,0.10745,0.1224,0.3236,0.33,0.35145,0.27935,0.263,0.1977,0.31985,0.324,0.29305,0.23025,0.08925,0.06845,0.0313,0.05805,0.1852,0.104,0.1734,0.12,0.08935,0.19205,0.21215,0.1655,0.1599,0.1226
6.839722,0.1322,0.2664,0.11645,0.13315,0.3353,0.3326,0.3513,0.2957,0.2708,0.19505,0.3311,0.3317,0.29605,0.23505,0.08845,0.06075,0.0262,0.05245,0.1824,0.1087,0.1733,0.1217,0.09845,0.19275,0.2135,0.17845,0.16235,0.1359
7.006667,0.1462,0.2593,0.1231,0.13245,0.34685,0.3341,0.3496,0.32295,0.28945,0.1965,0.3245,0.33525,0.295,0.23595,0.0952,0.06255,0.0312,0.04845,0.18005,0.1091,0.1781,0.11655,0.0929,0.19155,0.2114,0.1657,0.1659,0.1327
7.173333,0.15545,0.2601,0.1297,0.12995,0.3508,0.3346,0.34625,0.33695,0.29685,0.1939,0.32065,0.3414,0.2942,0.2375,0.097,0.0657,0.0285,0.05085,0.1874,0.1132,0.1759,0.11225,0.09195,0.1881,0.21345,0.1699,0.15955,0.12575
7.340278,0.1585,0.2513,0.13505,0.13035,0.3555,0.33485,0.35045,0.345,0.3111,0.18625,0.32245,0.33555,0.2928,0.2353,0.0895,0.0691,0.02805,0.0405,0.183,0.1113,0.172,0.11945,0.0884,0.19405,0.21115,0.16725,0.16255,0.13055
7.507222,0.17205,0.25265,0.1336,0.13085,0.3603,0.33715,0.3476,0.36555,0.32405,0.1908,0.318,0.3464,0.2937,0.23815,0.0892,0.0643,0.025,0.0385,0.18235,0.10705,0.1794,0.118,0.09535,0.1853,0.2126,0.16945,0.15945,0.12545
7.674167,0.1864,0.2519,0.1381,0.1252,0.3664,0.3438,0.35115,0.3678,0.3208,0.18645,0.3216,0.34495,0.2929,0.23805,0.0889,0.06825,0.02505,0.03605,0.17815,0.1051,0.1716,0.12565,0.0988,0.1891,0.21375,0.17875,0.1584,0.13275
7.841111,0.19665,0.2469,0.14,0.12025,0.36935,0.3448,0.3499,0.3746,0.32955,0.17885,0.31955,0.33795,0.28875,0.23635,0.09355,0.06805,0.02725,0.03455,0.1825,0.1024,0.1717,0.1199,0.0927,0.19465,0.20805,0.17835,0.16225,0.12485
8.008055,0.209,0.2496,0.13815,0.1175,0.36545,0.3449,0.3431,0.38415,0.33665,0.1798,0.3123,0.33585,0.28415,0.23825,0.092,0.0668,0.0256,0.03325,0.1821,0.1042,0.1763,0.1202,0.09095,0.19195,0.20855,0.16575,0.16625,0.133
8.175,0.22165,0.25755,0.1416,0.12485,0.3558,0.3348,0.3449,0.38315,0.3387,0.17445,0.31195,0.3344,0.2839,0.2369,0.0932,0.06615,0.02075,0.02935,0.17565,0.1115,0.1699,0.1173,0.08835,0.1936,0.20875,0.1682,0.1638,0.12975
8.341667,0.22305,0.25235,0.1376,0.1196,0.3515,0.33635,0.3413,0.3851,0.33325,0.1709,0.31085,0.33775,0.28515,0.24105,0.0917,0.0657,0.0237,0.02785,0.17705,0.10975,0.1672,0.12705,0.0959,0.19455,0.2064,0.1788,0.16055,0.12325
8.508611,0.2276,0.25555,0.14105,0.12165,0.34825,0.3335,0.3395,0.38595,0.3335,0.16825,0.30665,0.3334,0.28105,0.24055,0.09695,0.06255,0.01905,0.0259,0.17635,0.10715,0.16295,0.12565,0.0946,0.1929,0.20525,0.1749,0.1594,0.1216
8.675278,0.22865,0.25595,0.13695,0.1172,0.34675,0.33705,0.34075,0.3924,0.34745,0.16985,0.3033,0.33295,0.2786,0.2388,0.0869,0.0647,0.0177,0.0224,0.1745,0.10485,0.17255,0.12325,0.0913,0.18975,0.2058,0.1675,0.1536,0.12865
8.842222,0.23495,0.26025,0.14075,0.11795,0.34985,0.331,0.33765,0.3867,0.34415,0.1697,0.3029,0.3309,0.27705,0.23645,0.094,0.0622,0.01735,0.01945,0.17635,0.1086,0.1672,0.11875,0.0864,0.1896,0.2053,0.1687,0.1559,0.11985
9.009167,0.2325,0.2605,0.13805,0.1161,0.3464,0.3341,0.33095,0.39305,0.34795,0.1692,0.29855,0.34195,0.28145,0.23855,0.0969,0.05985,0.01795,0.0142,0.17425,0.1071,0.17215,0.13205,0.09725,0.1858,0.20735,0.1778,0.15865,0.1199
9.176111,0.23335,0.25735,0.1324,0.11185,0.33625,0.3368,0.32975,0.3928,0.34575,0.1671,0.29465,0.337,0.2703,0.2354,0.09155,0.0622,0.01805,0.018,0.17595,0.1008,0.1691,0.13275,0.098,0.18425,0.2029,0.17815,0.1585,0.12835
9.342778,0.2365,0.2625,0.13455,0.11195,0.3384,0.33185,0.32975,0.38395,0.33645,0.1577,0.29485,0.32705,0.2705,0.2385,0.0963,0.0576,0.0158,0.01695,0.17665,0.1092,0.16165,0.12185,0.08935,0.18955,0.20155,0.1719,0.1521,0.12915
