Time_Hour,8,101,189,159,223,84,146,192,53,69,116,8A,101A,189A,159A,223A,84A,146A,192A,53A,69A,116A
4.669723,0.12015,0.10745,0.12195,0.18765,0.10325,0.18755,0.17425,0.09995,0.14385,0.1247,0.1456,0.11155,0.11975,0.09,0.1462,0.1156,0.1185,0.08805,0.04495,0.1366,0.12455,0.12845
4.836389,0.11755,0.107,0.1261,0.18655,0.1055,0.2054,0.1797,0.0971,0.14845,0.13865,0.15385,0.11395,0.12515,0.09605,0.1475,0.11685,0.1249,0.09385,0.0481,0.136,0.12295,0.12685
5.003334,0.12135,0.10905,0.12795,0.18995,0.1061,0.21915,0.18115,0.10405,0.1545,0.1571,0.1561,0.11455,0.12145,0.09355,0.14405,0.1141,0.1235,0.09295,0.04685,0.1372,0.1255,0.12805
5.17,0.1225,0.11285,0.1375,0.1881,0.11375,0.2301,0.18285,0.1099,0.15665,0.1767,0.1641,0.11155,0.12695,0.09705,0.1449,0.11995,0.12515,0.0949,0.0487,0.138,0.12745,0.1276
5.336667,0.12765,0.12195,0.1395,0.19115,0.11515,0.2411,0.1838,0.1178,0.16395,0.19835,0.1702,0.1126,0.1237,0.0949,0.1444,0.11775,0.1236,0.0961,0.0527,0.13775,0.1277,0.1302
5.503611,0.13425,0.12775,0.14245,0.19425,0.121,0.25345,0.18955,0.13125,0.16505,0.21855,0.18315,0.1108,0.11845,0.09105,0.1455,0.11735,0.12655,0.0955,0.0546,0.13985,0.12885,0.13305
5.670278,0.13805,0.1354,0.1526,0.1939,0.12975,0.26915,0.191,0.15135,0.16965,0.2394,0.19685,0.1082,0.12065,0.0951,0.14465,0.11855,0.12785,0.08915,0.05905,0.1411,0.1358,0.1296
5.836945,0.14335,0.14215,0.1634,0.1977,0.1297,0.2816,0.193,0.1688,0.17245,0.25635,0.21565,0.11445,0.12185,0.09675,0.1485,0.11685,0.1258,0.0877,0.0596,0.1418,0.1356,0.1331
6.003611,0.15655,0.15665,0.1794,0.1971,0.13645,0.2758,0.1994,0.1802,0.17545,0.27125,0.234,0.1112,0.12795,0.1001,0.1455,0.1194,0.126,0.09735,0.0581,0.1365,0.1325,0.1338
6.170556,0.1703,0.1686,0.19285,0.2029,0.1368,0.2841,0.2064,0.1985,0.1713,0.27795,0.25385,0.1131,0.1233,0.09585,0.1472,0.11925,0.1273,0.09595,0.05975,0.1375,0.12945,0.1358
6.337223,0.1806,0.17785,0.21425,0.20505,0.14205,0.29175,0.2131,0.22375,0.1719,0.27455,0.2722,0.1174,0.12505,0.0988,0.1529,0.11895,0.12955,0.09645,0.0667,0.142,0.13695,0.1339
6.503889,0.19335,0.18865,0.2361,0.21235,0.1419,0.29345,0.22475,0.24355,0.16885,0.27895,0.28715,0.11095,0.1194,0.09445,0.15065,0.1158,0.1289,0.0923,0.06755,0.1422,0.13785,0.1348
6.670834,0.2031,0.1929,0.25445,0.2134,0.14385,0.28945,0.23805,0.2578,0.1679,0.277,0.29905,0.11645,0.12285,0.09735,0.1531,0.1166,0.12865,0.09855,0.07345,0.14445,0.13795,0.1364
6.837778,0.2115,0.20275,0.2803,0.20835,0.1447,0.2826,0.25535,0.27485,0.16285,0.2881,0.30845,0.115,0.13145,0.102,0.15345,0.1223,0.1291,0.1009,0.075,0.13775,0.1319,0.13765
7.004445,0.21915,0.2102,0.2967,0.2084,0.14575,0.2829,0.27495,0.284,0.1597,0.28405,0.31415,0.11105,0.1274,0.09945,0.14925,0.1206,0.1275,0.101,0.07845,0.13825,0.133,0.13755
