sample_number,maxcellindex_from_full,time_to_max,auc_0_12,auc_0_3,auc_3_6,auc_6_12,max_growth_rate,time_of_max_growth_rate,time_to_half_max,end_cellindex,decline_after_peak,biofilm_capacity_group,speed_group,cluster
192,0.34845,7.173333,2.9939000214,0.3275190053,0.6036136030000001,1.9865004217999997,0.23930180180180186,0.250139,4.170833,0.33065,0.017799999999999983,High biofilm capacity,Slow peak,3
84,0.32295,5.671944,2.8955444135750006,0.37959917895,0.7300156226750001,1.7048951006999993,0.18269599386620664,0.250139,2.669722,0.2752,0.047750000000000015,High biofilm capacity,Medium peak,1
189,0.3216,6.839722,2.4721018606749996,0.20179703297500004,0.4694548753000001,1.7357215074499996,0.17879964240071497,4.9213885,4.838055,0.27005,0.051549999999999985,High biofilm capacity,Medium peak,3
8,0.3135,9.009167,2.5348166328999993,0.26277467112499997,0.4570428826000001,1.7535147950249999,0.14106526739505465,0.250139,4.838055,0.3028,0.010699999999999987,High biofilm capacity,Slow peak,3
146,0.3111,6.506111,2.646463907675,0.41185843915,0.6310458086250001,1.5213883549,0.16739966520066957,0.4169445,1.334167,0.23395,0.07715,High biofilm capacity,Medium peak,1
104,0.30065,8.8425,2.2123387943249995,0.2429059648,0.3689356427000001,1.5545758086749997,0.1596343684109642,0.250139,6.005555,0.2743,0.026349999999999985,High biofilm capacity,Slow peak,3
164,0.2609,11.344167,1.3530020659125,0.14088636240000002,0.16899557802499998,1.0224627197125,0.11261261261261313,8.091249999999999,8.174722,0.2582,0.0027000000000000357,High biofilm capacity,Slow peak,3
220,0.25105,6.506111,2.0149701017249995,0.23034735474999998,0.38850298115000004,1.3374962811249997,0.11729976540046903,4.9213885,4.838055,0.2317,0.019350000000000006,High biofilm capacity,Medium peak,3
108,0.2381,5.838611,2.0058716768,0.29816008037499997,0.488343821825,1.1613023916499998,0.1593348667816753,0.250139,1.000833,0.17475,0.06335000000000002,High biofilm capacity,Medium peak,1
101,0.2352,6.672778,1.7736570187499998,0.15127186402500004,0.385626725725,1.1885658239999999,0.1123131109833237,4.420972000000001,4.170833,0.18515,0.05004999999999998,High biofilm capacity,Medium peak,3
169,0.2338,8.341667,1.8311928341499997,0.2160698885,0.32327862027500004,1.251253576275,0.09600038400153602,0.583611,3.336667,0.21895,0.014850000000000002,High biofilm capacity,Slow peak,3
60,0.2274,6.839722,1.859593841425,0.16964720182499998,0.37685531672500006,1.266632127675,0.11440962238834584,4.420972000000001,4.3375,0.21515,0.012249999999999983,High biofilm capacity,Medium peak,3
213,0.22675,6.172222,1.7852401494499994,0.16426251892500002,0.36909861407500005,1.2067502266499999,0.19617356718420542,4.420972000000001,4.504444,0.1982,0.02855000000000002,Moderate biofilm capacity,Medium peak,3
65,0.22335,5.671944,1.9342112412249997,0.261556472325,0.5468712671000001,1.06914774185,0.20096559325282734,0.250139,1.334167,0.1718,0.051549999999999985,Moderate biofilm capacity,Fast peak,1
232,0.2185,9.175833,1.1840778815750002,0.062056745225,0.06364820785,1.0462321413,0.1719129054479028,7.2568055000000005,6.839722,0.19375,0.024749999999999994,Moderate biofilm capacity,Slow peak,3
211,0.216366667,7.173333,1.8998670597274074,0.228985954669213,0.4500570454971296,1.1693871065221757,0.16522506349434543,0.250139,3.670555,0.1874,0.028966667,Moderate biofilm capacity,Slow peak,1
